author,date,score,review
Eliza,4 years ago,5,"I’ve used this oil for many years, good product and good value for the money.  I’m Italian and can’t cook without olive oil, garlic.    Enjoy!!!! "
Dawn,4 years ago,5,"I use olive oil for everything, from cooking to skin care - Costco is the only place I can buy to get quality olive oil, for a reasonable price. "
MomOf10,3 years ago,4,"Love the flavor and price of this olive oil! Only thing missing is acidity percentage on the label. I will continue to buy this, great purchase. "
Bern,4 years ago,3,"I like it, but can't give a higher rating since 2 day delivery is no longer available in my area so i won't be able to purchase online anymore. "
Life is good,2 years ago,5,"Wonderful taste oh, generous amount for the price. Cost less than colavita yet tastes very similar to that will more expensive extra virgin oil "
Kay W,2 years ago,5,Love this product and it refills my fancy little stove side container for so long. We love the taste and it is so great for dipping with bread 
Islander,3 years ago,5,"High quality organic EVOO at a very reasonable price.  What could be better, especially for a household that uses olive oil as much as we do. "
Anonymous,4 years ago,5,"I like the taste, and I have to trust the experts who say it is a genuine high-quality oil.  If that is the case, it is an excellent value. "
Mimi,3 years ago,5,"Kirkland Olive Oil is perfect for salads, cooking, etc. It’s a healthy, versatile oil with a mild taste that makes meal planning a breeze. "
Hafiza,3 years ago,5,"I use this oil for my skincare and hair care needs. It's the only oil I'll ever put on my face as it is a good, high-quality, organic oil. "
DKay,3 years ago,4,I use a lot of olive oil and this is a great value. It is a bit on the bitter side if used by itself other wise it is a very good product. 
Sharon,2 years ago,5,"Over the years I have purchased many different brands of olive oil, for me Kirkland Signature Organic Extra Virgin Olive Oil, is the best. "
Island T,4 years ago,5,"Best tasting organic extra virgin olive at a magnificent price. We use it for everything, including to make calendula oil for our skin. "
Trestria333,2 years ago,5,It’s goooood! Fair price. I usually find Kirkland items to be a good value. I would recommend this to anyone who likes to use olive oil. 
long time costco customer,2 years ago,5,"Excellent generic olive oil - use for cooking, salad dressing, dipping bread (altho there are obviously more interesting oils for this) "
Karen,4 years ago,5,Kirkland Signature Organic Virgin olive oil is the only olive oil i use. It's ingredients are all natural and the taste is really good. 
t5grrr,2 years ago,5,"With all the diluted and compromised olive oils being sold, it is nice that you can rely on a brand that is always what it says it is. "
Rob3,4 years ago,5,This is good cooking oil. Wouldn't be my first choice if making a dish where you need a good extra virgin olive oil as a main flavor. 
Vicki,5 years ago,5,"This olive oil tastes like REAL olive oil. Not bland. Peppery, like real olive oil should be. Delicious and you can't beat the price. "
Jake,3 years ago,5,This is a really good quality extra virgin olive oil at a great price. I would expect to pay about double for this quality elsewhere. 
Anonymous,4 years ago,5,This is an excellent olive oil for everyday use. I have used this for years — you can’t be the value for the quality of the product. 
William,4 years ago,5,One of the very few olive oils that are really and truly 100 percent olive oils in this country.  UC Davis confirmed this years ago. 
Phil_bp92,2 years ago,5,"This is very good quality, cold-pressed olive oil. This is simply the most reasonable price, for good olive oil, that we have found. "
Roxanne,3 years ago,5,This organic olive oil tastes great!I don’t believe it is many months old; good flavor and the expiration date is a year from now! 
Francesca,3 years ago,5,Kirkland's Organic Extra Virgin Olive Oil is as good as any other top brand olive oil! Given the choice we choose Kirkland's brand. 
WillN,4 years ago,3,"Overly bitter. Ah ok oil, to get if Italian origin is important. California has better tasting products. Good value for the price. "
RICHARD,4 years ago,5,I love this product and always buy it. It is nearly smokeless and gives my food great flavor .  I would recommend it to everyone. 
Diane Arndt,4 years ago,5,I love this product and I make oils from my plants that are healing to many others. So happy you have this product in their store 
ih20,5 years ago,5,The best olive oil in my opinion.  I like it so much better than the one they sell at trader joe's.  This tastes rich and olivey. 
Anonymous,4 years ago,5,Seems thicker and richer flavoured than the regular bottles I purchase from grocery stores. It smells better too. I recommend it. 
Mark,4 years ago,5,"I have bought this product for many, many years.  It is a great value and also ideal for baking, pan searing and use on the BBQ. "
See no,3 years ago,4,It’s good quality oil but it’s in a plastic jug. It should be glass to keep it from deteriorating or getting plastic in the oil. 
k bizzano,4 years ago,5,The best olive oil... we use for almost everything.  Eggs and salad and sauce and basting... wonderful subtle flavor - the BEST! 
Aliwali,4 years ago,5,I've been using Kirkland Organic EVOO for several years -- it's perfect for everyday cooking and your finest culinary delights. 
Anonymous,4 years ago,5,Highest quality for the price. Saves money for horrendously expensive gourmet oil for eating straight. No more “vegetable oil.” 
Oma Barbara,3 years ago,5,"Have used this for many years and will continue to use it. Great flavor, doesn't get cloudy, and works with all of my recipes. "
Maria,4 years ago,5,I’ve been using this olive oil for years and can attest it’s the very BEST OLIVE OIL I’ve ever used plus it’s a great price !! 
Mama,4 years ago,4,I like it but wish it were in a glass or tin container - not plastic. I refilled an empty tin one with this oil. Good quality 
Jeanette J,3 years ago,5,"The quality of Oil is rich, smooth, & can be heated to 350 degrees without smoking. Great compliment for roasting Vegetables. "
Debcg,2 years ago,4,Good for cooking but olives come from 4 different countries. I would prefer to know exactly what from where is in the bottle. 
DeeDeeSF,4 years ago,5,Hands down the best and purest Organic Olive Oil available. The flavor is great whether you cook with it or toss on a salad. 
BC22034,4 years ago,5,"It is a great product. The floral aroma and taste is incredible. Great for salads, cooking and sautéing. It worth the price. "
John B,5 years ago,4,"Guests complement on the salad and the olive oil, but Ithink it would be better in a glass bottle rather than a plastic one. "
Peanuts Momma,3 years ago,5,Excellent Olive Oil. I have used the Kirkland Extra Virgin Olive Oil for years and recommend it. It is also very good value. 
